threshold,policy,total_samples,acceptable_samples,unacceptable_samples,true_accepts,true_rejects,false_accepts,false_rejects,false_accept_rate,false_reject_rate,precision,recall,balanced_accuracy,acceptance_rate,rejection_rate
70.0,combined,80,21,59,20,51,8,1,0.1356,0.0476,0.7143,0.9524,0.9084,0.3500,0.6500
70.5,combined,80,21,59,20,51,8,1,0.1356,0.0476,0.7143,0.9524,0.9084,0.3500,0.6500
71.0,combined,80,21,59,20,51,8,1,0.1356,0.0476,0.7143,0.9524,0.9084,0.3500,0.6500
71.5,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
72.0,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
72.5,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
73.0,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
73.5,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
74.0,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
74.5,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
75.0,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
75.5,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
76.0,combined,80,21,59,20,52,7,1,0.1186,0.0476,0.7407,0.9524,0.9169,0.3375,0.6625
76.5,combined,80,21,59,19,53,6,2,0.1017,0.0952,0.7600,0.9048,0.9015,0.3125,0.6875
77.0,combined,80,21,59,19,53,6,2,0.1017,0.0952,0.7600,0.9048,0.9015,0.3125,0.6875
77.5,combined,80,21,59,19,53,6,2,0.1017,0.0952,0.7600,0.9048,0.9015,0.3125,0.6875
78.0,combined,80,21,59,19,53,6,2,0.1017,0.0952,0.7600,0.9048,0.9015,0.3125,0.6875
78.5,combined,80,21,59,19,54,5,2,0.0847,0.0952,0.7917,0.9048,0.9100,0.3000,0.7000
79.0,combined,80,21,59,19,54,5,2,0.0847,0.0952,0.7917,0.9048,0.9100,0.3000,0.7000
79.5,combined,80,21,59,19,54,5,2,0.0847,0.0952,0.7917,0.9048,0.9100,0.3000,0.7000
80.0,combined,80,21,59,19,54,5,2,0.0847,0.0952,0.7917,0.9048,0.9100,0.3000,0.7000
80.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
81.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
81.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
82.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
82.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
83.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
83.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
84.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
84.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
85.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
85.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
86.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
86.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
87.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
87.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
88.0,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
88.5,combined,80,21,59,19,55,4,2,0.0678,0.0952,0.8261,0.9048,0.9185,0.2875,0.7125
89.0,combined,80,21,59,19,57,2,2,0.0339,0.0952,0.9048,0.9048,0.9354,0.2625,0.7375
89.5,combined,80,21,59,19,57,2,2,0.0339,0.0952,0.9048,0.9048,0.9354,0.2625,0.7375
90.0,combined,80,21,59,18,57,2,3,0.0339,0.1429,0.9000,0.8571,0.9116,0.2500,0.7500
90.5,combined,80,21,59,18,58,1,3,0.0169,0.1429,0.9474,0.8571,0.9201,0.2375,0.7625
91.0,combined,80,21,59,17,58,1,4,0.0169,0.1905,0.9444,0.8095,0.8963,0.2250,0.7750
91.5,combined,80,21,59,17,58,1,4,0.0169,0.1905,0.9444,0.8095,0.8963,0.2250,0.7750
92.0,combined,80,21,59,17,58,1,4,0.0169,0.1905,0.9444,0.8095,0.8963,0.2250,0.7750
92.5,combined,80,21,59,17,58,1,4,0.0169,0.1905,0.9444,0.8095,0.8963,0.2250,0.7750
93.0,combined,80,21,59,16,58,1,5,0.0169,0.2381,0.9412,0.7619,0.8725,0.2125,0.7875
93.5,combined,80,21,59,16,59,0,5,0.0000,0.2381,1.0000,0.7619,0.8810,0.2000,0.8000
94.0,combined,80,21,59,16,59,0,5,0.0000,0.2381,1.0000,0.7619,0.8810,0.2000,0.8000
94.5,combined,80,21,59,16,59,0,5,0.0000,0.2381,1.0000,0.7619,0.8810,0.2000,0.8000
95.0,combined,80,21,59,16,59,0,5,0.0000,0.2381,1.0000,0.7619,0.8810,0.2000,0.8000
95.5,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
96.0,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
96.5,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
97.0,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
97.5,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
98.0,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
98.5,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
99.0,combined,80,21,59,14,59,0,7,0.0000,0.3333,1.0000,0.6667,0.8333,0.1750,0.8250
99.5,combined,80,21,59,12,59,0,9,0.0000,0.4286,1.0000,0.5714,0.7857,0.1500,0.8500
100.0,combined,80,21,59,11,59,0,10,0.0000,0.4762,1.0000,0.5238,0.7619,0.1375,0.8625
