filename,sha256,file_size_bytes,domain,suitability_status,sequence_identity,variant_identity,parent_sequence_identity,derivation_type,source_family,width,height,frame_rate_rational,frame_rate_float,is_hfr,pixel_format,bit_depth,duration_seconds,dynamic_range_classification,is_hdr,is_wcg,selected_vmaf_model,model_compatibility,model_selection_reason,license,license_source,access_restrictions,exclusion_reason,relative_path
20161101_1048_SPARKS_DOVI_TEST_Scratch_Audio.mxf,6e3957dd78e727f9e1a95f6ee54941b19259275e281989e7367afff52bced5c3,66203519,Domain 3: HDR / WCG,not_applicable_hdr,sparks,sparks_scratch_audio_mxf,sparks,imf_audio_essence,Netflix Open Content / Sparks,,,,,False,,8,229.812917,hdr_general,True,False,,not_applicable,HDR content: outside SDR VMAF v1.0.16 model scope,Creative Commons Attribution 4.0 International (CC BY 4.0),Netflix Open Content License (CC BY 4.0),Attribution required,High Dynamic Range / Wide Color Gamut asset; segregated from SDR calibration,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/20161101_1048_SPARKS_DOVI_TEST_Scratch_Audio.mxf
20161103_1023_SPARKS_4K_P3_PQ_4000nits_DoVi.mxf,6d413dc18a778b5b7d216a2c4d0ca237513ace95d0bbac504f11ab052e87fcd5,46234035639,Domain 3: HDR / WCG,not_applicable_hdr,sparks,sparks_4k_p3_pq_4000nits_dovi_mxf,sparks,imf_video_essence,Netflix Open Content / Sparks,,,,,False,,8,,hdr_pq,True,False,,not_applicable,HDR content: outside SDR VMAF v1.0.16 model scope,Creative Commons Attribution 4.0 International (CC BY 4.0),Netflix Open Content License (CC BY 4.0),Attribution required,High Dynamic Range / Wide Color Gamut asset; segregated from SDR calibration,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/20161103_1023_SPARKS_4K_P3_PQ_4000nits_DoVi.mxf
ASSETMAP.xml,fea7d883825bdc597fdaada2e31e41f1f6f6d05f5d7bba1938fec376cf04a7ac,1232,excluded,excluded_documentation,ASSETMAP,ASSETMAP,ASSETMAP,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/ASSETMAP.xml
CPL_fb7e0add-cffb-4888-8d31-e45a12f6a8e4.xml,0e025e4da0ba23a258ce70fa06c017badc9f65c7404ea6603d9cb4750c158aea,10582,excluded,excluded_documentation,CPL_fb7e0add-cffb-4888-8d31-e45a12f6a8e4,CPL_fb7e0add-cffb-4888-8d31-e45a12f6a8e4,CPL_fb7e0add-cffb-4888-8d31-e45a12f6a8e4,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/CPL_fb7e0add-cffb-4888-8d31-e45a12f6a8e4.xml
OPL_75a08557-071c-4419-90d7-f30df4ae849a.xml,d0870952f9addffce400ea11d21f79f6d7cd80c87a3ede46d9e6818163db95ab,402,excluded,excluded_documentation,OPL_75a08557-071c-4419-90d7-f30df4ae849a,OPL_75a08557-071c-4419-90d7-f30df4ae849a,OPL_75a08557-071c-4419-90d7-f30df4ae849a,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/OPL_75a08557-071c-4419-90d7-f30df4ae849a.xml
PKL_e9c1d8e3-efdc-4779-9c59-5fb9dec9c107.xml,c06938cef9eea804b280ce9920505e9e8d7aff9a6f86d858f14661a27ea0deac,1127,excluded,excluded_documentation,PKL_e9c1d8e3-efdc-4779-9c59-5fb9dec9c107,PKL_e9c1d8e3-efdc-4779-9c59-5fb9dec9c107,PKL_e9c1d8e3-efdc-4779-9c59-5fb9dec9c107,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/PKL_e9c1d8e3-efdc-4779-9c59-5fb9dec9c107.xml
VOLINDEX.xml,96905c59f61ecfdf1493f26b8e5779e27e296457f510073171933439746d7e34,152,excluded,excluded_documentation,VOLINDEX,VOLINDEX,VOLINDEX,unknown_file,Local / Project-Supplied (Unverified),,,,,False,,8,,sdr_standard,False,False,,unsupported,Missing stream geometry or frame-rate metadata,Proprietary / Internal,Unverified Local Asset,Internal use only,Non-media documentation file,resource_videos/20170215_1430_SPARKS_4K_P3_PQ_4000nits_DoVi_LtRt_IMF/VOLINDEX.xml
akiyo_cif.y4m,0f7a1f997930217d601ab324b1428859fdb599dde8d33772a24bfe2803a9b067,45621044,Domain 2: Secondary / Legacy,secondary_domain,akiyo,akiyo_cif,akiyo,classic_sd_benchmark,Xiph/DERF Classic SD,352,288,30000/1001,29.97,False,yuv420p,8,10.01,sdr_standard,False,False,,secondary_domain,Legacy CIF/QCIF SD sequence: viewing assumptions materially differ from modern HD/UHD,Public Domain / Research Evaluation,ITU-T Legacy Test Sequence Collection,Research evaluation,Legacy CIF/QCIF SD sequence: viewing assumptions materially differ from modern HD/UHD,resource_videos/akiyo_cif.y4m
aspen_1080p.y4m,735fced2e320f82735f82762eaa5f6c50c667873d95ca95c94275abd5e970738,2363907467,Domain 1: Primary SDR,eligible_sdr_primary,aspen,aspen_1080p,aspen,source_master_1080p,NTIA/ITS HDTV,1920,1080,30000/1001,29.97,False,yuv422p,8,19.019,sdr_standard,False,False,vmaf_v1.0.16_3d0h,compatible,Native 1080p SDR standard (<50fps) (29.97 fps) matches official vmaf_v1.0.16_3d0h model,Public Domain (US Gov) / Research Use Only,NTIA/ITS Public Domain Media Terms,Non-commercial research use only,,resource_videos/aspen_1080p.y4m
bowing_cif.y4m,bfd282c4dfbe6b5ac93a014e97e7bd5104ed357a744879b75b414adb9e8069ec,45621044,Domain 2: Secondary / Legacy,secondary_domain,bowing,bowing_cif,bowing,classic_sd_benchmark,Xiph/DERF Classic SD,352,288,30000/1001,29.97,False,yuv420p,8,10.01,sdr_standard,False,False,,secondary_domain,Legacy CIF/QCIF SD sequence: viewing assumptions materially differ from modern HD/UHD,Public Domain / Research Evaluation,ITU-T Legacy Test Sequence Collection,Research evaluation,Legacy CIF/QCIF SD sequence: viewing assumptions materially differ from modern HD/UHD,resource_videos/bowing_cif.y4m
