sequence_group,duration_seconds,fixture,width,height,fps,ssim_mean,psnr_mean,independent_policy_label,vmaf_mean,vmaf_median,vmaf_p1,vmaf_p5,vmaf_p95,vmaf_worst,vmaf_stddev,vmaf_decision
ducks_take_off,2.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
ducks_take_off,2.0,VERY_LOW,1920,1080,50.0,0.957368,37.215885,acceptable,95.47,95.24,93.63,93.96,97.59,93.63,1.176,93.96
ducks_take_off,2.0,LOW_PERTURBATION,1920,1080,50.0,0.793964,25.343,unacceptable,63.0,63.01,61.68,61.92,64.01,61.07,0.688,61.92
ducks_take_off,2.0,MODERATE,1920,1080,50.0,0.910835,32.942697,boundary,80.74,80.48,78.95,79.16,82.51,78.34,1.099,79.16
ducks_take_off,2.0,HIGH,1920,1080,50.0,0.673124,25.345339,unacceptable,31.11,31.06,22.32,26.14,35.42,21.98,3.434,26.14
ducks_take_off,2.0,SEVERE,1920,1080,50.0,0.596109,22.927115,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ducks_take_off,5.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
ducks_take_off,5.0,VERY_LOW,1920,1080,50.0,0.952275,36.33172,acceptable,94.26,94.51,91.23,91.45,97.3,91.05,1.827,91.45
ducks_take_off,5.0,LOW_PERTURBATION,1920,1080,50.0,0.758216,24.781081,unacceptable,58.81,58.07,52.77,53.51,63.78,51.7,3.927,53.51
ducks_take_off,5.0,MODERATE,1920,1080,50.0,0.880978,30.90541,boundary,76.74,77.4,70.95,71.39,82.31,70.53,3.888,71.39
ducks_take_off,5.0,HIGH,1920,1080,50.0,0.618606,24.394628,unacceptable,20.36,19.88,6.13,7.02,34.78,4.6,10.184,7.02
ducks_take_off,5.0,SEVERE,1920,1080,50.0,0.565455,22.72623,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ducks_take_off,10.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
ducks_take_off,10.0,VERY_LOW,1920,1080,50.0,0.952593,36.146588,acceptable,94.23,94.17,91.24,91.54,97.11,90.99,1.718,91.54
ducks_take_off,10.0,LOW_PERTURBATION,1920,1080,50.0,0.754343,24.459353,unacceptable,60.14,61.47,52.96,54.09,63.58,51.7,3.221,54.09
ducks_take_off,10.0,MODERATE,1920,1080,50.0,0.880518,30.576884,boundary,77.2,77.67,71.03,71.6,82.03,70.53,3.153,71.6
ducks_take_off,10.0,HIGH,1920,1080,50.0,0.629805,24.223205,unacceptable,23.7,26.1,6.37,7.88,35.17,4.6,8.832,7.88
ducks_take_off,10.0,SEVERE,1920,1080,50.0,0.557145,22.271487,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_town_cross,2.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
old_town_cross,2.0,VERY_LOW,1920,1080,50.0,0.949181,39.651278,unacceptable,94.53,94.32,92.76,93.3,96.19,92.76,0.932,93.3
old_town_cross,2.0,LOW_PERTURBATION,1920,1080,50.0,0.829417,27.671962,unacceptable,61.44,61.39,59.64,59.93,62.92,58.58,0.946,59.93
old_town_cross,2.0,MODERATE,1920,1080,50.0,0.903004,35.26195,boundary,77.48,77.45,75.87,76.35,78.66,75.58,0.735,76.35
old_town_cross,2.0,HIGH,1920,1080,50.0,0.724254,27.63209,unacceptable,12.11,10.35,1.28,5.48,21.17,0.0,5.36,5.48
old_town_cross,2.0,SEVERE,1920,1080,50.0,0.738169,28.273224,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_town_cross,5.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
old_town_cross,5.0,VERY_LOW,1920,1080,50.0,0.950389,39.750023,acceptable,94.72,94.52,93.22,93.49,96.36,92.76,0.919,93.49
old_town_cross,5.0,LOW_PERTURBATION,1920,1080,50.0,0.833718,27.701617,unacceptable,61.86,61.82,59.74,60.34,63.75,58.58,1.029,60.34
old_town_cross,5.0,MODERATE,1920,1080,50.0,0.905706,35.388335,boundary,78.03,78.02,76.08,76.61,79.32,75.58,0.804,76.61
old_town_cross,5.0,HIGH,1920,1080,50.0,0.725176,27.537774,unacceptable,11.79,10.27,5.19,6.94,18.84,0.0,4.333,6.94
old_town_cross,5.0,SEVERE,1920,1080,50.0,0.741362,28.248916,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_town_cross,10.0,IDENTICAL,1920,1080,50.0,1.0,100.0,acceptable,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
old_town_cross,10.0,VERY_LOW,1920,1080,50.0,0.95051,39.743811,acceptable,95.34,95.27,93.3,93.63,97.36,92.76,1.141,93.63
old_town_cross,10.0,LOW_PERTURBATION,1920,1080,50.0,0.837312,27.765353,unacceptable,64.07,63.87,59.91,60.52,68.27,58.58,2.557,60.52
old_town_cross,10.0,MODERATE,1920,1080,50.0,0.906431,35.407262,boundary,78.88,78.9,76.35,76.92,80.75,75.58,1.224,76.92
old_town_cross,10.0,HIGH,1920,1080,50.0,0.724901,27.486539,unacceptable,13.41,11.46,6.09,7.16,23.88,3.08,5.926,7.16
old_town_cross,10.0,SEVERE,1920,1080,50.0,0.741759,28.183565,unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
