threshold,policy,total_samples,acceptable_samples,unacceptable_samples,true_accepts,true_rejects,false_accepts,false_rejects,false_accept_rate,false_reject_rate,precision,recall,balanced_accuracy,acceptance_rate,rejection_rate
0.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
0.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
1.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
1.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
2.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
2.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
3.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
3.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
4.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
4.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
5.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
5.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
6.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
6.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
7.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
7.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
8.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
8.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
9.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
9.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
10.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
10.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
11.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
11.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
12.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
12.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
13.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
13.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
14.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
14.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
15.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
15.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
16.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
16.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
17.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
17.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
18.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
18.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
19.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
19.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
20.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
20.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
21.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
21.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
22.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
22.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
23.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
23.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
24.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
24.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
25.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
25.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
26.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
26.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
27.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
27.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
28.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
28.5,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
29.0,combined,44,19,25,19,0,25,0,1.0000,0.0000,0.4318,1.0000,0.5000,1.0000,0.0000
29.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
30.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
30.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
31.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
31.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
32.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
32.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
33.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
33.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
34.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
34.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
35.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
35.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
36.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
36.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
37.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
37.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
38.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
38.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
39.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
39.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
40.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
40.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
41.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
41.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
42.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
42.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
43.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
43.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
44.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
44.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
45.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
45.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
46.0,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
46.5,combined,44,19,25,19,1,24,0,0.9600,0.0000,0.4419,1.0000,0.5200,0.9773,0.0227
47.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
47.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
48.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
48.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
49.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
49.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
50.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
50.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
51.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
51.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
52.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
52.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
53.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
53.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
54.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
54.5,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
55.0,combined,44,19,25,18,1,24,1,0.9600,0.0526,0.4286,0.9474,0.4937,0.9545,0.0455
55.5,combined,44,19,25,18,2,23,1,0.9200,0.0526,0.4390,0.9474,0.5137,0.9318,0.0682
56.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
56.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
57.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
57.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
58.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
58.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
59.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
59.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
60.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
60.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
61.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
61.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
62.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
62.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
63.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
63.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
64.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
64.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
65.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
65.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
66.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
66.5,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
67.0,combined,44,19,25,18,3,22,1,0.8800,0.0526,0.4500,0.9474,0.5337,0.9091,0.0909
67.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
68.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
68.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
69.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
69.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
70.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
70.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
